jobid,jobtitle,company,location,url,updatedatetime
4386657361,SMTS Application Engineer,Analog Devices,"Pudong, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4386657361,2026-04-25 17:50:25
4358963396,"Sr. Logistics Program Manager, Devices Global Logistics",Amazon,"Shenzhen, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4358963396,2026-04-25 15:23:59
4400379698,Program Manager,GE HealthCare,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4400379698,2026-04-25 16:38:10
4387803933,"Program Manager, Devices Global Logistics",Amazon,"Shenzhen, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4387803933,2026-04-25 17:50:25
4395486179,Customer Program Manager - Auto,NVIDIA,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4395486179,2026-04-25 16:36:36
4356851826,"Principal Engineer, Prod Tech Support",Johnson Controls,Changzhou-Wuxi-Suzhou Metropolitan Area (On-site),https://www.linkedin.com/jobs/view/4356851826,2026-04-25 15:24:40
4403367641,Manager – Customer Programs,DHL Global Forwarding,"Chengdu, Sichuan, China (On-site)",https://www.linkedin.com/jobs/view/4403367641,2026-04-25 16:36:05
4403422402,"Customer Solutions Manager, Customer Solutions Manager",Amazon Web Services (AWS),Guangzhou-Foshan Metropolitan Area (On-site),https://www.linkedin.com/jobs/view/4403422402,2026-04-25 14:14:58
4399157012,"Technical Program Manager, Core Tech",Apple,"Suzhou, Jiangsu, China (On-site)",https://www.linkedin.com/jobs/view/4399157012,2026-04-25 16:36:05
4398007863,Senior Program Manager,GE HealthCare,Changzhou-Wuxi-Suzhou Metropolitan Area (On-site),https://www.linkedin.com/jobs/view/4398007863,2026-04-25 16:36:36
4395490397,Senior Customer Program Manager – Server and Networking Products,NVIDIA,"Shenzhen, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4395490397,2026-04-25 17:50:42
4403439102,"Operations Program Manager, Global Operations Devices, Services & Systems",Amazon,"Shenzhen, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4403439102,2026-04-25 15:25:42
4387919003,Customer Program Manager-OMS,DHL Global Forwarding,"Chengdu, Sichuan, China (On-site)",https://www.linkedin.com/jobs/view/4387919003,2026-04-25 16:36:36
4377253277,Consultant/Senior Consultant/Manager - Strategy & Business Design - SH/BJ(315591),Deloitte,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4377253277,2026-04-25 15:24:41
4399726040,Senior Field Application Engineer - Automotive Software and System,Analog Devices,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4399726040,2026-04-25 16:36:05
4389816292,Software Systems Engineer - Health Software Team,Apple,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4389816292,2026-04-25 16:36:36
4398023219,Sr. Software Architect,GE HealthCare,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4398023219,2026-04-25 16:37:07
4395490419,Customer Program Manager - Auto,NVIDIA,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4395490419,2026-04-25 16:37:38
4361899484,Principle Engineer of Product Integration,Analog Devices,"Pudong, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4361899484,2026-04-25 16:37:07
4403772215,Application Development & Tech Service Engineer,Lubrizol IMEA,"Songjiang District, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4403772215,2026-04-25 16:37:07
4397663794,"Engineering Manager – Wireless Systems, Wireless Tech and Ecosystems",Apple,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4397663794,2026-04-25 16:37:39
